data,semana,hora,pedidos_pagos,unidades_pagas,receita_paga
1,1,0,3,4,"1172,54"
1,1,1,1,2,776
1,1,4,1,1,477
1,1,5,1,2,"978,3"
1,1,7,1,1,"384,3"
1,1,8,5,12,"2676,4"
1,1,9,6,9,"2677,76"
1,1,10,2,3,"869,29"
1,1,11,6,10,"2310,1"
1,1,12,11,17,"4382,4"
1,1,13,9,21,"6373,22"
1,1,14,13,22,"5594,83"
1,1,15,6,9,"2846,84"
1,1,16,5,10,"2158,65"
1,1,17,6,11,"3728,94"
1,1,18,7,11,"4300,3"
1,1,19,4,8,"2215,96"
1,1,20,9,16,"4864,63"
1,1,21,4,6,"2088,46"
1,1,22,4,6,"2932,32"
1,1,23,3,4,"1159,73"
2,1,0,5,8,"2947,39"
2,1,1,1,1,388
2,1,2,2,2,774
2,1,4,1,1,"339,3"
2,1,5,1,1,"339,3"
2,1,6,2,4,"750,6"
2,1,7,3,4,"1170,3"
2,1,8,3,3,"1361,14"
2,1,9,4,6,"2152,3"
2,1,10,6,8,"3059,61"
2,1,11,8,20,"6048,34"
2,1,12,15,26,"7925,37"
2,1,13,8,11,"4502,27"
2,1,14,9,17,"4669,71"
2,1,15,7,13,"3134,69"
2,1,16,10,13,"5233,81"
2,1,17,11,20,"6151,86"
2,1,18,15,23,"8254,22"
2,1,19,17,28,"9081,18"
2,1,20,13,22,"6859,22"
2,1,21,13,22,"8657,87"
2,1,22,17,33,"11351,4"
2,1,23,6,9,"3018,28"
3,1,0,6,11,"2729,6"
3,1,1,1,2,"368,84"
3,1,2,1,4,"885,6"
3,1,7,2,4,1541
3,1,8,6,21,"3617,23"
3,1,9,5,6,"2446,82"
3,1,10,6,8,"3525,83"
3,1,11,14,18,"7445,48"
3,1,12,9,19,"5646,53"
3,1,13,6,10,"2280,64"
3,1,14,8,15,"3523,84"
3,1,15,19,31,"8355,78"
3,1,16,7,12,"3932,21"
3,1,17,8,13,"4652,85"
3,1,18,8,9,"3581,42"
3,1,19,8,13,"3962,89"
3,1,20,15,18,"5948,76"
3,1,21,16,23,"7535,93"
3,1,22,13,19,"6580,94"
3,1,23,8,18,"5326,54"
4,1,0,4,6,"1775,68"
4,1,1,3,4,"1466,16"
4,1,2,2,6,2761
4,1,5,1,1,"342,74"
4,1,6,4,6,"1785,66"
4,1,7,4,5,"1855,32"
4,1,8,6,8,"2827,47"
4,1,9,14,19,"6360,79"
4,1,10,13,22,"5747,13"
4,1,11,9,15,"4707,2"
4,1,12,7,12,"3629,8"
4,1,13,13,21,"7177,23"
4,1,14,13,14,"5815,49"
4,1,15,10,13,"4307,27"
4,1,16,8,10,"3926,85"
4,1,17,8,9,"4099,85"
4,1,18,10,14,"4231,66"
4,1,19,8,10,"4297,43"
4,1,20,16,28,"9769,01"
4,1,21,12,20,"6962,2"
4,1,22,7,10,"3728,83"
4,1,23,7,10,"3115,52"
5,1,0,9,14,"3937,26"
5,1,1,3,6,2640
5,1,2,2,2,"723,6"
5,1,4,1,1,"339,3"
5,1,5,1,1,427
5,1,6,3,3,"1178,4"
5,1,7,5,10,"2448,72"
5,1,8,3,5,"1756,32"
5,1,9,8,10,"4110,25"
5,1,10,9,13,"4773,35"
5,1,11,62,80,"23207,75"
5,1,12,45,55,"18409,74"
5,1,13,37,49,"15555,41"
5,1,14,22,32,"10475,28"
5,1,15,16,25,"7533,09"
5,1,16,10,18,"6138,21"
5,1,17,13,13,"4228,19"
5,1,18,5,6,"1986,8"
5,1,19,10,16,"5361,62"
5,1,20,15,29,"10408,07"
5,1,21,11,14,"5473,03"
5,1,22,18,25,"10674,74"
5,1,23,14,21,"6975,61"
6,1,0,4,6,"2009,56"
6,1,1,4,5,"2316,7"
6,1,4,1,1,"339,3"
6,1,5,1,3,"1048,95"
6,1,6,6,6,"2478,33"
6,1,7,5,7,"2183,27"
6,1,8,11,19,"7013,47"
6,1,9,8,14,"4680,96"
6,1,10,7,12,"4314,39"
6,1,11,18,27,"11167,72"
6,1,12,11,18,"5005,82"
6,1,13,10,19,"6607,06"
6,1,14,9,16,"5526,69"
